abb_id;kennzahl;objektart;einheit
#   Abb_4_206  Anzahl der Transaktionen Baugrundstuecke Mehrfamilienhaeuser
#   Abb_4_215  Preisniveau Baugrundstuecke Mehrfamilienhaeuser, mittl. Lagen <- zugeordnet
#   Abb_4_231  Anzahl der Transaktionen land- und forstwirtschaftl. Flaechen
#   Abb_4_232  Geldumsatz land- und forstwirtschaftlich genutzte Flaechen
#   Abb_4_248  Preisniveau fuer Ackerflaechen
#   Abb_4_265  Preisniveau fuer Gruenlandflaechen
#
# ERLAUBTE KENNZAHLEN — GENAU DIESE SCHREIBWEISE
#   liegenschaftszinssatz  sachwertfaktor  vergleichsfaktor
#   bewirtschaftungskostenquote  marktmiete  kaufpreis_qm
#   baulandpreis_qm  bodenrichtwert  restnutzungsdauer  gesamtnutzungsdauer
# Das Vokabular steht in src/connectors/opendata/kennzahlen.js.
#
# ERLAUBTE OBJEKTARTEN
#   etw · etw_neubau · efh · zfh · dhh · rh · mfh · alle
#   'etw_neubau' ist Archiv: die Kaskade fragt fuer eine Eigentumswohnung
#   nach 'etw'. Ein Neubaupreis gehoert nicht neben einen Bestandsverkauf.
#
# ALLE WERTE DIESER QUELLE SIND KLASSIERT. Sie erscheinen als Einordnung
# im Bericht, nie als Rechenwert — auch mit Legende nicht. Das ist keine
# Einschraenkung des Parsers, sondern der Quelle.
#
# Zeilen mit # sind Kommentar. Trennzeichen ist das Semikolon.
# ---------------------------------------------------------------------------
